Time,SecSinceStart,redTime,latitude,longitude,speed,altitude,Avg_x,Avg_y,Avg_z
2015-12-23 00:01:12,72.4471828937531,72,51.912098606,-1.146173794,48.383998488,48.383998488,-5.47272925294118e-002,-0.980703615637255,0.152298721637255
2015-12-23 00:01:13,73.4471819400787,73,51.912202961,-1.146075223,48.7079990388,48.7079990388,-5.6717367745098e-002,-0.987293617352942,0.144584057333333
2015-12-23 00:01:14,74.4471828937531,74,51.912312973,-1.145977741,48.9240005508,48.9240005508,-7.27340099705882e-002,-0.983759113382353,0.145726521794118
2015-12-23 00:01:15,75.4471819400787,75,51.912420262,-1.145889899,49.0319995896,49.0319995896,-6.16408703627451e-002,-0.980470844352941,0.148470560686275
2015-12-23 00:01:16,76.4471819400787,76,51.912514893,-1.14577054,49.6800006876,49.6800006876,-6.81367762156863e-002,-0.985804090313726,0.146522222754902
2015-12-23 00:01:17,77.4471828937531,77,51.912619709,-1.145665012,49.6800006876,49.6800006876,-5.79751706862745e-002,-0.978348825470588,0.148595174117647
2015-12-23 00:01:18,78.4471828937531,78,51.9127231,-1.145563005,49.6439998632,49.6439998632,-7.9454160245098e-002,-0.987279704931373,0.132772109137255
2015-12-23 00:01:19,79.4471809864044,79,51.912832609,-1.145464852,49.0680004104,49.0680004104,-4.93491677745098e-002,-0.983500611549019,0.128186992558824
2015-12-23 00:01:20,80.4471819400787,80,51.912941826,-1.145347087,50.1120002736,50.1120002736,-2.96113256960784e-002,-0.982020060254902,0.14910185572549
2015-12-23 00:01:21,81.4471819400787,81,51.913048276,-1.14524005,49.7879997264,49.7879997264,-6.01951748627451e-002,-0.974996379813726,0.145932964215686
2015-12-23 00:01:22,82.4471819400787,82,51.913142446,-1.145117506,49.8600013716,49.8600013716,-4.96335497156863e-002,-0.988461961921569,0.136240641284314
2015-12-23 00:01:23,83.4471819400787,83,51.91324085,-1.144999405,49.9319995896,49.9319995896,-5.65076342254902e-002,-0.983747295343137,0.110998714637255
2015-12-23 00:01:24,84.4471828937531,84,51.913335356,-1.144875102,49.248001098,49.248001098,-8.17287669215686e-002,-0.98546465709804,0.113401076401961
2015-12-23 00:01:25,85.4471819400787,85,51.913437196,-1.144754486,48.7079990388,48.7079990388,-6.92562028333334e-002,-0.987980113362745,0.124689139598039
2015-12-23 00:01:26,86.4471819400787,86,51.913532205,-1.144652059,48.8879997264,48.8879997264,-5.77395570392157e-002,-0.996177374147059,0.123513913607843
2015-12-23 00:01:27,87.4471819400787,87,51.913636476,-1.144546699,48.9600013716,48.9600013716,-1.98030934854369e-002,-0.996956982601942,0.135904849126214
2015-12-23 00:01:28,88.4471828937531,88,51.913741417,-1.144445864,48.2040012348,48.2040012348,9.29724001960784e-003,-0.997094696705882,0.131399117333333
2015-12-23 00:01:29,89.4471819400787,89,51.913837139,-1.144337738,47.0879997264,47.0879997264,3.04686602941177e-002,-0.998868306450981,0.115681218205882
2015-12-23 00:01:30,90.4471828937531,90,51.913941535,-1.144258529,45.4680004104,45.4680004104,1.51126338137255e-002,-0.987009833833333,0.107763701843137
2015-12-23 00:01:31,91.4471819400787,91,51.914045177,-1.14418787,44.3879997264,44.3879997264,4.61811739117647e-002,-0.994081384990197,0.11538546695098
2015-12-23 00:01:32,92.4471819400787,92,51.914142869,-1.144139338,42.083998488,42.083998488,6.52067895588235e-002,-0.98488422472549,0.106992534578431
2015-12-23 00:01:33,93.4471819400787,93,51.914245798,-1.144102123,41.7600013716,41.7600013716,5.24389229411765e-002,-0.991888607264706,0.123062133764706
2015-12-23 00:01:34,94.4471819400787,94,51.914346465,-1.144089215,41.183998488,41.183998488,-4.01606840294118e-002,-0.981352563019608,0.114871156019608
2015-12-23 00:01:35,95.4471819400787,95,51.914443024,-1.144058369,38.5920009612,38.5920009612,-0.280321906598039,-0.9891815185,6.66382733039216e-002
2015-12-23 00:01:36,96.4471819400787,96,51.914533046,-1.144014532,38.051998902,38.051998902,-0.355479820117647,-1.00356427360784,5.57165706568627e-002
2015-12-23 00:01:37,97.4810478687286,97,51.914533046,-1.144014532,38.051998902,38.051998902,-8.35716397156863e-002,-0.99073357672549,8.96471809019608e-002
2015-12-23 00:01:37,97.5925028324127,98,51.914533046,-1.144014532,38.051998902,38.051998902,-8.35716397156863e-002,-0.99073357672549,8.96471809019608e-002
2015-12-23 00:01:37,97.4471828937531,97,51.914614895,-1.143938676,37.0800006876,37.0800006876,-8.35716397156863e-002,-0.99073357672549,8.96471809019608e-002
2015-12-23 00:01:38,98.4858160018921,98,51.914533046,-1.144014532,38.051998902,38.051998902,4.3578802254902e-003,-0.980108373264706,9.85906263921569e-002
2015-12-23 00:01:38,98.4471828937531,98,51.914685848,-1.143857455,35.2079990388,35.2079990388,4.3578802254902e-003,-0.980108373264706,9.85906263921569e-002
2015-12-23 00:01:39,99.4471819400787,99,51.914753616,-1.14378294,32.7959987652,32.7959987652,2.58494358333333e-002,-0.989016065421569,0.105461270205882
2015-12-23 00:01:40,100.447181940079,100,51.914825994,-1.143708844,30.2040012348,30.2040012348,-1.54876705882353e-003,-0.99435335045098,0.103736727872549
2015-12-23 00:01:41,101.447180986404,101,51.914886906,-1.143651259,29.3759994492,29.3759994492,-1.18976668235294e-002,-1.00100229298039,0.109161526519608
2015-12-23 00:01:42,102.447180986404,102,51.914936797,-1.143617772,28.5840002052,28.5840002052,-1.69819850392157e-002,-1.00951759492157,-2.97740860784313e-003
2015-12-23 00:01:43,103.447181940079,103,51.915014991,-1.143556711,25.8120002736,25.8120002736,-6.84539196862745e-002,-1.01512908938235,-9.50154323627451e-002
2015-12-23 00:01:44,104.447181940079,104,51.915041866,-1.143541567,14.4360008244,14.4360008244,-4.00140800392157e-002,-1.01795959472549,-0.116776260686275
2015-12-23 00:01:45,105.447181940079,105,51.915052924,-1.143534491,4.1759998812,4.1759998812,-6.45885093529412e-002,-1.00101964612745,1.53436099215686e-002
2015-12-23 00:01:52,112.447182893753,112,51.915077744,-1.143535338,3.6719999316,3.6719999316,-0.144597371421569,-0.949497746470588,0.315735760872549
2015-12-23 00:01:53,113.447180986404,113,51.915088976,-1.143518575,8.8920001044,8.8920001044,-0.206199945235294,-0.952742931892157,0.237799401382353
2015-12-23 00:01:54,114.447182893753,114,51.915099453,-1.143472474,13.3920001044,13.3920001044,-0.224293129137255,-0.970256281833333,0.183481702617647
2015-12-23 00:01:55,115.447182893753,115,51.915110182,-1.14341246,16.9199993124,16.9199993124,-5.40407966176471e-002,-0.990834853254902,0.12642460245098
2015-12-23 00:01:56,116.447181940079,116,51.915108757,-1.143335095,17.6039995176,17.6039995176,-8.26695759705882e-002,-0.969876308078431,0.25785857554902
2015-12-23 00:01:57,117.447181940079,117,51.915109134,-1.14324918,21.959999658,21.959999658,-5.65019495686274e-002,-0.972938238460785,0.209970810843137
2015-12-23 00:01:58,118.447181940079,118,51.915094382,-1.143167792,22.7520006192,22.7520006192,-0.028613371,-0.996765884754902,0.117870106401961
2015-12-23 00:01:59,119.447181940079,119,51.915091951,-1.143080704,21.240000342,21.240000342,-6.12834856862746e-003,-0.988073162009804,0.111910502127451
2015-12-23 00:02:00,120.447182893753,120,51.915101423,-1.142999567,19.1879997264,19.1879997264,0.197028665,-0.999448290058824,6.85513066568627e-002
2015-12-23 00:02:01,121.447181940079,121,51.915124892,-1.142942319,16.0560001368,16.0560001368,0.243407455127451,-1.00461428773529,2.08372228137255e-002
2015-12-23 00:02:02,122.447181940079,122,51.91515381,-1.142908288,12.5280000684,12.5280000684,5.79114427647059e-002,-0.983012330352941,0.109346576852941
2015-12-23 00:02:03,123.447182893753,123,51.915182853,-1.142894207,11.4120002736,11.4120002736,-6.11293755825243e-002,-1.00975940295146,8.10478731067962e-003
2015-12-23 00:02:04,124.447181940079,124,51.915205778,-1.142888758,4.464000036,4.464000036,-2.15700934803921e-002,-1.01113412896078,-4.1050480872549e-002
